Breakdown,ttm,7/31/2019,7/31/2018,7/31/2017,7/31/2016
Total Revenue,"6,857,000","6,784,000","5,964,000","5,177,000","4,694,000"
Cost of Revenue,"1,337,000","1,167,000","977,000","809,000","752,000"
Gross Profit,"5,520,000","5,617,000","4,987,000","4,368,000","3,942,000"
Operating Expense,"3,980,000","3,763,000","3,490,000","2,973,000","2,700,000"
Operating Income,"1,540,000","1,854,000","1,497,000","1,395,000","1,242,000"
Net Non Operating Interest Income Expense,"42,000","31,000","-2,000","-23,000","-32,000"
Other Income Expense,"-7,000","-4,000","8,000","-5,000","-7,000"
Pretax Income,"1,575,000","1,881,000","1,503,000","1,367,000","1,203,000"
Tax Provision,"238,000","324,000","292,000","396,000","397,000"
Net Income Common Stockholders,"1,337,000","1,557,000","1,211,000","971,000","979,000"
Diluted NI Available to Com Stockholders,"1,337,000","1,557,000","1,211,000","971,000","979,000"
Basic EPS,-,0.006,0.0047,0.0038,0.0037
Diluted EPS,-,0.0059,0.0046,0.0037,0.0037
Basic Average Shares,-,"260,000","256,000","257,000","262,000"
Diluted Average Shares,-,"264,000","261,000","261,000","265,000"
Total Operating Income as Reported,"1,540,000","1,854,000","1,497,000","1,395,000","1,242,000"
Total Expenses,"5,317,000","4,930,000","4,467,000","3,782,000","3,452,000"
Net Income from Continuing & Discontinued Operation,"1,337,000","1,557,000","1,211,000","971,000","979,000"
Normalized Income,"1,337,000","1,557,000","1,211,000","971,000","806,000"
Interest Income,"52,000","46,000","18,000","8,000","3,000"
Interest Expense,"10,000","15,000","20,000","31,000","35,000"
Net Interest Income,"42,000","31,000","-2,000","-23,000","-32,000"
EBIT,"1,585,000","1,896,000","1,523,000","1,398,000","1,238,000"
EBITDA,"1,812,000",-,-,-,-
Reconciled Cost of Revenue,"1,117,000","948,000","730,000","575,000","526,000"
Reconciled Depreciation,"227,000","225,000","253,000","236,000","238,000"
Net Income from Continuing Operation Net Minority Interest,"1,337,000","1,557,000","1,211,000","971,000","806,000"
Total Unusual Items Excluding Goodwill,-,"3,000","7,000",0,0
Total Unusual Items,-,"3,000","7,000",0,0
Normalized EBITDA,"1,812,000","2,121,000","1,776,000","1,634,000","1,476,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
